ICAO Code,Make,Model,Max Passengers,Min Takeoff Distance (ft),Max Range (nm)
CL60,Bombardier,Challenger 600,19,5640,3800
C25B,Cessna,Citation CJ3,9,3180,2040
C25C,Cessna,Citation CJ4,10,3410,2165
TBM9,Daher,TBM 900,6,2380,1730
C700,Cessna,Citation Longitude,12,4810,3500
E190,Embraer,E190,114,6076,2450
A320,Airbus,A320,180,6562,3300
A320N,Airbus,A320neo,194,6562,3500
A319,Airbus,A319ceo,156,6070,3700
A339,Airbus,A330-900,287,7710,7200
B350,Beechcraft,King Air 350,11,3300,1800
B38M,Boeing,737 MAX 8,210,7550,3550
B407,Bell,407,6,1,330
B60T,Beechcraft,Duke B60 Turbine,6,1000,1400
B703,Boeing,707-320,189,9840,5750
B720,Boeing,720B,156,6500,3200
B736,Boeing,737-600,132,6157,3050
B738,Boeing,737-800,189,7546,3060
C414,Cessna,Chancellor,8,1706,1528
C46,Curtiss,Commando,50,2952,1500
CRJ7,Bombardier,CRJ-700,78,5500,1550
D17S,Beechcraft,Staggerwing D17S,5,1130,670
DC3,Douglas,DC-3,32,1700,1500
DC6,Douglas,DC-6,102,3500,4584
EC35,Airbus,H135 (EC135),7,1,342
MD11,McDonnell Douglas,MD-11,293,9186,7240
MD88,McDonnell Douglas,MD-88,155,6726,2050
MU-2,Mitsubishi,MU-2B,8,2170,1450
P180,Piaggio,Avanti II,9,3235,1470
PC12,Pilatus,PC-12,9,2485,1803
RJ70,British Aerospace,Avro RJ70,82,5250,1700
